ad_iD,Collector name,Shop name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact
526,Faysal,83 Shide fashion ,shaadhaka ciyaalka ,shaadhadhka caruurta oo kala duwan ,https://drive.google.com/file/d/16ijMpbQNDJwxiidL13Mvp2feHEmFVlWV/view?usp=drivesdk,shaadh niman yaryar,shaadh ,$12,,Personal Accessories,TRUE ,Hargeisa,Call;063;4052092
527,Faysal,83 Shide fashion ,toobabka dumarka ,toobabkii dumarka oo kala duwan ,https://drive.google.com/file/d/16ZyKPuRa1ChnMdaOtjRrQT94UDJE_IsH/view?usp=drivesdk,toob Dumar,toob kabo boorso ,$35,,Personal Accessories,TRUE ,Hargeisa,Call;063;4052092
528,Faysal,84 Sobigeal shop ,Cookie moker,waa qalab aad ku samaysan karto keega,https://drive.google.com/file/d/19kkvzDrYKTaa_rfX5J6WsCQ99ZTItPoJ/view?usp=drivesdk,cookie maker ,keeg sameeye,$35,,Food and Beverage,TRUE ,Hargeisa,call;063;3339886
529,Faysal,84 Sobigeal shop ,Genius nicer dicer,waa qalab kuu jarjaraya basasha ,https://drive.google.com/file/d/19icP_vh8GgqeYw6jM9bVuW79sQtfe3yP/view?usp=drivesdk,Genius nicer dicer,jarjare,$10,,Devices,TRUE ,Hargeisa,call;063;3339886
530,Faysal,84 Sobigeal shop ,Ajmal solage,waa cadar aad u udgoon ,https://drive.google.com/file/d/19jrK1rVdB_iPMkcEE_DiSOnoF6C8U891/view?usp=drivesdk,ajmal,cadar,$24,,Personal Accessories,TRUE ,Hargeisa,call;063;3339886
531,Faysal,85 Rassam ,Sabiibta cad ,sabiibkii cadaa oo aad u fiican ,https://drive.google.com/file/d/16nN0Bj5f-F8Vxdus0LYF3GapwQ0F62JH/view?usp=drivesdk,Kismis Gold Iran,sabiib cad 1kg ,$3,,Food and Beverage,TRUE ,Hargeisa,Call;063;6643712
532,Faysal,85 Rassam ,sabiibkii madoow,sabiibkii madowbaa oo tayo sare leh ,https://drive.google.com/file/d/16oDX0IvHmZUEWQZ2LOp_Glsmzwsv9WGZ/view?usp=drivesdk,Kismis Black ,sabiib madaw,$8,,Food and Beverage,TRUE ,Hargeisa,Call;063;6643712
533,Faysal,86 Kulan Vip,salmado dumar,shalmadihii dumarka oo kala duwan,https://drive.google.com/file/d/19rLO7HPw-L4Vkek3VdepHmCXkcovtagK/view?usp=drivesdk,shalmad,shalmado ,$28,,Personal Accessories,TRUE ,Hargeisa,call:063:3807508
534,Faysal,86 Kulan Vip,Boorso,boorsooyinkii dumarka oo noocwalba leh,https://drive.google.com/file/d/19lFDy-hTJ0izoD2i_5qSkBDvj9fxxxaG/view?usp=drivesdk,boorso,boorso,$35,,Personal Accessories,TRUE ,Hargeisa,call:063:3807508
535,Faysal,86 Kulan Vip,shaadhadh,shaadhadhkii Raga oo kala duwan,https://drive.google.com/file/d/19lB6r5g2TPpVMq3OZoI7o26EsMCCUBBn/view?usp=drivesdk,shaadh,shaadh,$13,,Personal Accessories,TRUE ,Hargeisa,call:063:3807508
536,Faysal,87 Klassy Shoes ,kabaha xaragada ,waxa laguu hayaa kaboyaashii xaragada oo kala duwan ,https://drive.google.com/file/d/15Ws7YJTNlHPxtf6EOd4Hf-DRMug1kjWj/view?usp=drivesdk,kabo xarago,kabo ,$30,,Personal Accessories,TRUE ,Hargeisa,call:063:7563866
