ad_iD,Collector name,Shop Name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact,File_name
39,Jaamac,10-Baxnaano waleka ,MEXXI GLASSWARE,Bilaydho iib 20$,https://drive.google.com/file/d/1RctIakJVA5I3LbA7VZANqQtWGYVRQc59/view?usp=drivesdk,MEXXI GLASSWARE,Bilaydho ,20$,,Devices,TRUE,Hargeisa, Call:0634777523      ,069f3fc8-4172-4482-ad32-c6fca330a822.JPG
40,Jaamac,10-Baxnaano weelka ,Seedco,Koobab iib 20$,https://drive.google.com/file/d/14ssMgYzcow6RZFANYOBftR7f9CMXXzYB/view?usp=drivesdk,SEED  CO.,Koobab ,20$,,Devices,TRUE,Hargeisa, Call:0634777523      ,160f5d7b-d31f-4e99-bd41-50c79bf65325.JPG
41,Jaamac,10-Baxnaano weelka ,kuleyliso iib,Kuleyliso iib 14$,https://drive.google.com/file/d/1KsHzcutgESVWjjHb2pbT-pjRIwUWY7xw/view?usp=drivesdk,MORVELINDIA,Kuleyliso,14$,,Devices,TRUE,Hargeisa, Call:0634777523      ,30760e56-8a8c-4022-ba4e-5c74a405eb84.JPG
42,Jaamac,10-Baxnaano weelka ,falaas iib ,Falaas iib 13$,https://drive.google.com/file/d/1mkJC6X_XAcRrr81SWUb6QmFPFSQ7WMee/view?usp=drivesdk,BOOSINA,Falaasad ,13$,,Devices,TRUE,Hargeisa, Call:0634777523      ,4781d0e0-705a-49de-b412-b5e0a2006d6a.JPG
43,Jaamac,11-Muraadso online ,camera canon iib ,Camera canon iib 420$,https://drive.google.com/file/d/14WKueWsXoAIGRbCS1Hx2RPiXfu-fbOHn/view?usp=drivesdk,CANON,EOS 700D,420$,,Devices,TRUE,Hargeisa,Call:0633333471,IMG_1233.PNG
44,Jaamac,11-Muraadso online ,Tab A8 2019 iib ,Samsung Galacsy Tab A8,https://drive.google.com/file/d/1b4XufAWbJIrWg7xbfG8SxaWAGtHcqIjk/view?usp=drivesdk,Samsung ,Galacsy Tab,125$,,Devices,TRUE,Hargeisa,Call:0633333471,IMG_1411.JPG
45,Jaamac,11-Muaraadso online ,iPhone 6s iib ,iPhone 6s iib 160$,https://drive.google.com/file/d/1m1JZJ0XPApEn2-Dg6pFlGZdpJ2vddoTk/view?usp=drivesdk,Apple ,Apple,160$,,Devices,TRUE,Hargeisa,Call:0633333471,IMG_1410.JPG
46,Jaamac,11-Muraadso online ,Samsung galaxy A32 iib ,Samsung galaxy A32 iib 235$,https://drive.google.com/file/d/1hoS_TL4UPL0tIi82RDJnNGHPWhb9uBgD/view?usp=drivesdk,Samsung ,Galacsy ,235$,,Devices,TRUE,Hargeisa,Call:0633333471,IMG_1409.JPG
47,Jaamac,11-Muraadso online ,AirPods Air iib ,Airpods Air iib 25$,https://drive.google.com/file/d/1SeA658JcaM61_mnpVCtGnr5m8Yk5dbrM/view?usp=drivesdk,Apple ,Apple,25$,,Devices,TRUE,Hargeisa,Call:0633333471,IMG_1413.JPG
48,Jaamac,12-Bilan Beauty,shandad xarago haweenka iib,Shandad xarago haweenka iib 17$,https://drive.google.com/file/d/13cGqFvGxeWlhOjrC2dKVq8wtOeTKkkYD/view?usp=drivesdk,WEIXIER,WEIXIER,17$,,Devices,TRUE,Hargeisa,Call:0636916639,IMG_1237.JPG
49,Jaamac,12-Bilan Beauty,Kabo dumar iib ,Kabo dumar iib 7$,https://drive.google.com/file/d/1h0t6eghGDfJEHsBwDuQ5h02ROR1Ezwz6/view?usp=drivesdk,KABO DAGAN ,kabo cidhib leh,7$,,Devices,TRUE,Hargeisa,Call:0636916639,IMG_1415.JPG
50,Jaamac,12-Bilan Beauty,cabaayad xarago dumar iib ,Cabaayad xarago dumar iib 22$,https://drive.google.com/file/d/1a5LKXOiWHVJC3dpMFCgtNyCBB7hCi7lp/view?usp=drivesdk,SUCUDIYAAN,,22$,,Devices,TRUE,Hargeisa ,Call:0636916639,IMG_1236.JPG
51,Jaamac,12-Almadiina ,malab saafi ah iib ,Malab saafi ah iib  15$,https://drive.google.com/file/d/1a5LKXOiWHVJC3dpMFCgtNyCBB7hCi7lp/view?usp=drivesdk,SAAFI,natural,15$,,Devices,TRUE,Hargeisa ,Call:0636916639,IMG_1236.JPG
52,Axmed,Al-Huda,Mobil Glacsy A10s oo cusub,cusub/64GB/Black/lasocdo memory card *GB $195,,SAMSUNG,Samsung Glacsy A10s,$195,,Devices,TRUE,Hagreisa,,
53,Faysal,1Saami online,Sijaayad cusub oo iib ah,sijaayad iib $16,https://drive.google.com/file/d/1N6ii-nHIbZDi30MWEfc2rG4eQQmmGTTj/view?usp=drivesdk,Sucuudi,Sucuudi,$16,,Devices,TRUE,Hagreisa,Call-0634012114,Saami online 1.jpg
54,Faysal,2 Maroodi jeex ,Saacad cusub ,saacad macalaa leetar $9,https://drive.google.com/file/d/192b6YAwSaLRH8PKyisJq4aHBJ5e6kBJq/view?usp=drivesdk,Quarts,China ,$9,,Personal Accessories,TRUE,Hagreisa,Call- 063:4628152,Maroodi jeex .jpg
55,Faysal,2Maroodi jeex ,mobil Glacsy A72 oo cusub,Galaxy A72 GB 128 IIB $425,https://drive.google.com/file/d/19_TUzwEaOcHRS_xk9YU6oBam9FsAYPSR/view?usp=drivesdk,SAMSUNG,SAMSUNG Glacsy A72 ,$425,,Personal Accessories,TRUE,Hagreisa,Call- 063:4628152,Maroodi jeex.jpg
56,Faysal,2Maroodi jeex,Kaawiyadii biyaha oo cusub ,Kaawiyadii biyaha 200w TORNADO iib $60,https://drive.google.com/file/d/1CKEeEcghp17DCVKEn63tE_qKR1bd82mA/view?usp=drivesdk,ELARABY,Masar,$60,,Personal Accessories,TRUE,Hagreisa,Call- 063:4628152,
57,Faysal,2Maroodi jeex,Mishiinkii Timaha oo cusub ER217s ,Mishiinkii Timaha Panasonic iib $65,https://drive.google.com/file/d/19CSiysIJdxYD513aUymb51zh2zzoQWtQ/view?usp=drivesdk,washable,JAPAN,$65,,Personal Accessories,TRUE,Hagreisa,Call- 063:4628152,Maroodi  jeex .jpg
58,Faysal,2Maroodi jeex,Qasaaladii dharka RAINBOW CUBE,Qasaaladii dharka oo tach ah ,https://drive.google.com/file/d/14C7AZ9KzWnUM5IUWSbsDvC6JH6svPewo/view?usp=drivesdk,MEGA,China ,$570,,Devices,TRUE,Hagreisa,Call- 063:4628152,Madoodi j.jpg
59,Faysal,3 HAA Electric,Labtoon LENOVO ,Labtoon LENOVO iib ,https://drive.google.com/file/d/18MrJHI0l72zSvaimKCyfs2bQg683oGwg/view?usp=drivesdk,lenovo,china,$350,,Devices,TRUE,Hagreisa,Call- 063:4628152,Haa .jpg
60,Faysal,3 HAA Electric,kamarad Canon,kamarad Canon zoom 85mm,https://drive.google.com/file/d/17efuvGAgxhkGQncyC0kTq2HAl5_xp__p/view?usp=drivesdk,canon,china,$1.35,,Devices,TRUE,Hagreisa,Call-063:4426188,HAA.jpg
61,Faysal,3 HAA Electric,Galaxy A7 32GB ,mobil Galaxy A7 32GB iib ,https://drive.google.com/file/d/17mG6DTrox4Ens5yrxqGrdi08zJ_YIzHV/view?usp=drivesdk,sumsung,china,$220,,Personal Accessories,TRUE,Hagreisa,Call-063:4426188,Haa e.jpg
62,Faysal,3 HAA Electric,iPhone 11pro  iib ,iPhone 11pro /256 GB ,https://drive.google.com/file/d/18fRiPqw4LZmS2AjXoFprBgT_gQNAhpb8/view?usp=drivesdk,Apple,,"$1,320",,Personal Accessories,TRUE,Hagreisa,Call-063:4426188,Haa 1.jpg
63,Faysal,3 HAA Electric,shiilihii jabista ,mashiinkii lagu shiilayey baradhada iib ,https://drive.google.com/file/d/1G_hIAW1fARt3HUQJSM-fI5tuWY9beGyA/view?usp=drivesdk,saachi,deep fryer,$65,,Personal Accessories,TRUE,Hagreisa,Call-063:4426188,HAA 6.jpg
64,Faysal,4 Africa eElectric,iPhone 13,iphone 13 /128GB oo cusub iib ,https://drive.google.com/file/d/18WJXuhPnzmFsg9X-CHAmFYDpzicZWkMG/view?usp=drivesdk,Apple,Iphone 12,"$1,150.00",,Personal Accessories,TRUE,Hagreisa,Call-063:4426188,Africa 1.jpg
65,Faysal,4 Africa eElectric,Galaxy Nore20 ultra 5G,Galaxy Nore20 ultra 5G /128GB iib ,https://drive.google.com/file/d/19X1Y-Nk-wG5zoZS4LbqGVxWQhSiV8cZE/view?usp=drivesdk,sumsung,china ,"$1,070.00",,Personal Accessories,TRUE,Hagreisa,Call-063:4104084,Africa e.jpg
66,Faysal,4 Africa eElectric,GAlaxy Nore21 ultra 5G,Galaxy Nore21 ultra 5G  iib ,https://drive.google.com/file/d/19C4LLtxnJ_l7rbNHtU8TEwPv1ptOFkv-/view?usp=drivesdk,sumsung,china ,"$1,260",,Devices,TRUE,Hagreisa,Call-063:4104084,Africa .jpg
